date,open,high,close,low
2019/12/31,1183,1188,1183,1176.51
2019/12/30,1170.2,1195.5,1185.8,1170.2
2019/12/27,1150,1172,1163,1150
2019/12/26,1132,1141.98,1135.1,1119.99
2019/12/25,1143,1143,1133.7,1130.01
2019/12/24,1153,1155,1148,1145
2019/12/23,1139,1162.5,1149.3,1136
2019/12/20,1162.18,1162.18,1146.3,1141.5
2019/12/19,1163,1163,1157.4,1152
2019/12/18,1174,1175.2,1168,1164
2019/12/17,1149.7,1173.6,1169.98,1143.03
2019/12/16,1163,1163,1147.92,1137.94
2019/12/13,1146,1165,1163,1146
2019/12/12,1156,1159.94,1137,1130.08
2019/12/11,1168,1170.75,1158.98,1155.55
2019/12/10,1159.6,1165,1164.4,1151
2019/12/9,1175,1176,1158.7,1156.1
2019/12/6,1135.97,1170,1170,1130.1
2019/12/5,1125,1132.01,1129.8,1118
2019/12/4,1140,1144.66,1122.33,1118
2019/12/3,1133,1133,1118,1117.74
2019/12/2,1118.2,1140.02,1133,1118.2
2019/11/29,1165.5,1165.5,1129,1112.89
2019/11/28,1194.97,1197.51,1175.8,1169.02
2019/11/27,1192.8,1196.62,1189.95,1184.51
2019/11/26,1186.68,1198.6,1185,1183
2019/11/25,1188.05,1194,1182.06,1172.06
2019/11/22,1223,1229,1194,1185
2019/11/21,1231,1235.51,1231.3,1221.06
2019/11/20,1230,1239.51,1233.75,1228.06
2019/11/19,1228,1241.61,1232.32,1225.02
2019/11/18,1225.12,1229.45,1227.28,1218
2019/11/15,1230,1232.91,1224.9,1221.5
2019/11/14,1227,1240,1230,1222
2019/11/13,1207,1227.8,1224,1200
2019/11/12,1204,1209.6,1201.6,1198.21
2019/11/11,1201.5,1206.2,1199,1193.51
2019/11/8,1205,1215.65,1205,1201.51
2019/11/7,1196.51,1201.88,1201.37,1189
2019/11/6,1197,1204,1193,1188.88
2019/11/5,1199.5,1205,1199,1192
2019/11/4,1190,1209.99,1199.59,1189
2019/11/1,1181,1191.95,1185,1172.5
2019/10/31,1196,1198,1180.01,1176.15
2019/10/30,1190,1192.7,1183.8,1176
2019/10/29,1181.11,1199.96,1193,1177.77
2019/10/28,1166.01,1181.01,1178.29,1165
2019/10/25,1153.3,1172.5,1171.35,1143.03
2019/10/24,1164.95,1166,1150.27,1147.16
2019/10/23,1168,1178,1158.91,1156.11
2019/10/22,1178,1181.5,1170.8,1163.89
2019/10/21,1171.86,1178.9,1168.5,1163.3
2019/10/18,1179,1189.99,1175.79,1171.69
2019/10/17,1176,1186.66,1183.33,1162.5
2019/10/16,1168,1187.5,1170,1160
2019/10/15,1180,1215.68,1211,1177.03
2019/10/14,1186,1187.66,1180,1170
2019/10/11,1157,1175,1174.6,1152.21
2019/10/10,1127,1158.93,1155,1109.02
2019/10/9,1166.2,1166.2,1146.81,1135.05
2019/10/8,1153,1180,1167.1,1152.01
2019/9/30,1163,1169.43,1150,1150
2019/9/27,1164,1183,1174.75,1153
2019/9/26,1174.94,1183.35,1167,1158.81
2019/9/25,1180,1188.87,1174,1170.5
2019/9/24,1155,1184.9,1184,1152
2019/9/23,1157,1157,1149,1131
2019/9/20,1151,1160,1157.42,1147.59
2019/9/19,1148,1150,1145,1137.1
